Pw,B1,B2,B3,B4,B5,M1,M2,M3,M4,M5
1.00E-04,0.0632,5.068,9.158,13.197,17.22,0.999,3.00E-08,4.00E-09,7.00E-10,2.00E-10
1.00E-02,0.199,5.072,9.161,13.199,17.222,0.999,3.00E-06,3.00E-07,7.00E-08,3.00E-08
1.00E-01,0.618,5.117,9.189,13.221,17.24,0.999,2.00E-04,8.00E-05,8.00E-06,3.00E-06
0.25,0.946,5.187,9.234,13.256,17.269,0.998,1.60E-03,1.90E-04,4.90E-05,1.80E-05
0.5,1.272,5.295,9.306,13.318,17.312,0.993,5.50E-03,6.90E-04,1.80E-04,7.00E-05
0.75,1.485,5.392,9.373,13.365,17.36,0.987,0.01,1.40E-03,3.90E-04,1.50E-04
1,1.642,5.478,9.436,13.415,17.402,0.981,0.016,2.30E-03,6.00E-04,2.50E-04
2,2,5.744,9.645,13.59,17.555,0.954,0.036,6.40E-03,2.00E-03,8.20E-04
4,2.259,6.045,9.921,13.842,17.785,0.915,0.061,0.014,4.80E-03,2.20E-03
6,2.407,6.204,10.087,14.056,17.945,0.893,0.073,0.019,7.00E-03,3.30E-03
8,2.474,6.3,10.195,14.189,18.059,0.878,0.079,0.022,8.60E-03,4.20E-03
10,2.517,6.365,10.271,14.2,18.144,0.869,0.083,0.024,9.70E-03,4.90E-03
25,2.626,6.542,10.491,14.451,18.417,0.842,0.092,0.029,0.013,7.10E-03
50,2.664,6.608,10.578,14.555,18.535,0.831,0.095,0.031,0.014,8.00E-03
75,2.678,6.631,10.609,14.592,18.578,0.827,0.096,0.031,0.014,8.00E-03
1.00E+02,2.684,6.643,10.625,14.611,18.6,0.825,0.096,0.032,0.015,8.00E-03
1.00E+03,2.702,6.675,10.668,14.665,18.663,0.82,0.097,0.032,0.015,8.00E-03
1.00E+04,2.704,6.679,10.673,14.67,18.669,0.819,0.0975,0.0325,0.0155,8.00E-03
